,Azimuth_Right,Azimuth_Left,AOM_Right,AOM_Left,Elevation_Right,Elevation_Left,Xaxis_Right,Xaxis_Left,Yaxis_Right,Yaxis_Left,Zaxis_Right,Zaxis_Left,Pupil_Diameter_Right,Pupil_Diameter_Left,mode_status
56.991,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0
57.116,2.256895198924454,-2.4100576585178146,1.0,0.0,-33.33415534674922,-21.592395054523305,-0.0329,0.0391,0.8348,0.929,0.5495,0.368,4.24,3.56,1.0
57.257,4.136940550130973,-1.0926320864923156,1.0,0.0,-34.993701821917576,-27.593595668095695,-0.0591,0.0169,0.8171,0.8861,0.5735,0.4632,4.2,3.89,1.0
57.366,,-0.8389584293090451,1.0,0.0,-34.993701821917576,-29.051440002422407,-0.0591,0.0128,0.8171,0.8741,0.5735,0.4856,4.22,3.89,1.0
57.491,,-0.6087406601330514,1.0,0.0,-34.993701821917576,-28.914103431825,-0.0591,0.0093,0.8171,0.8753,0.5735,0.4835,4.26,3.89,1.0
57.601,,-0.5352759750286253,1.0,0.0,-34.993701821917576,-28.632271636475934,-0.0591,0.0082,0.8171,0.8777,0.5735,0.4792,4.22,3.89,1.0
57.725,,-0.5414332396820924,1.0,0.0,-34.993701821917576,-28.555424825000443,-0.0591,0.0083,0.8171,0.8783,0.5735,0.478,4.15,3.89,1.0
57.835,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
57.975,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
58.085,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
58.194,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
58.319,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
58.444,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
58.569,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
58.678,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
58.803,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
58.960,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
59.085,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
59.241,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
59.350,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
59.475,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
59.584,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
59.725,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
59.866,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
60.006,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
60.116,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
60.241,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
60.381,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
60.522,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
60.647,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
60.772,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
60.881,-9.976740505991714,11.017552475518585,0.0,0.0,-23.973145031915553,-25.423532685619403,0.1583,-0.1726,0.8999,0.8865,0.4063,0.4293,3.07,3.06,1.0
61.037,-26.66861078754969,-9.191875549115693,0.0,0.0,-19.907751677058265,-16.697062636594865,0.422,0.153,0.8402,0.9455,0.3405,0.2873,3.46,3.04,1.0
61.193,,-14.000310540147993,0.0,0.0,-19.907751677058265,-14.803054996403214,0.422,0.2339,0.8402,0.9381,0.3405,0.2555,3.48,3.04,1.0
61.318,,-26.29903795892902,0.0,0.0,-19.907751677058265,-22.376723723836324,0.422,0.4097,0.8402,0.829,0.3405,0.3807,3.23,3.04,1.0
61.443,,-24.871277256372707,0.0,0.0,-19.907751677058265,-23.090609072283762,0.422,0.3869,0.8402,0.8346,0.3405,0.3922,3.11,3.04,1.0
61.584,,-30.76403000982196,0.0,0.0,-19.907751677058265,-10.270900446756354,0.422,0.5033,0.8402,0.8455,0.3405,0.1783,3.15,3.04,1.0
61.803,,-30.70434131577926,0.0,0.0,-19.907751677058265,-0.33804651781237,0.422,0.5106,0.8402,0.8598,0.3405,0.0059,3.32,3.04,1.0
61.928,,-30.884164099425355,0.0,0.0,-19.907751677058265,-0.3781496547029831,0.422,0.5133,0.8402,0.8582,0.3405,0.0066,3.37,3.04,1.0
62.053,,-25.804022250100616,0.0,0.0,-19.907751677058265,-0.04583601384275162,0.422,0.4353,0.8402,0.9003,0.3405,0.0008,3.22,3.04,1.0
62.178,-3.2882502310104087,22.148963473091328,0.0,0.0,-6.396278247322134,-5.773772526282762,0.057,-0.3751,0.9921,0.9215,0.1114,0.1006,3.55,3.5,1.0
62.459,-11.287062951746279,2.4131093500959366,0.0,0.0,-27.820574012061083,-29.62916418567405,0.1731,-0.0366,0.8673,0.8685,0.4667,0.4944,3.06,3.14,1.0
62.568,-5.456433587324298,2.0133475122379565,0.0,0.0,-32.49425445637643,-29.096355677702928,0.0802,-0.0307,0.8396,0.8733,0.5372,0.4863,3.01,2.96,1.0
62.677,-4.10807598698301,1.6866059246352165,0.0,0.0,-29.250462223030368,-28.764662047404777,0.0625,-0.0258,0.8702,0.8762,0.4886,0.4812,3.02,2.97,1.0
62.802,-4.089415951417919,1.077862107956875,0.0,0.0,-30.73023316383459,-28.055131710102945,0.0613,-0.0166,0.8574,0.8823,0.511,0.4703,3.03,2.94,1.0
62.912,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
63.052,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
63.162,0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0
63.287,0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0
63.412,0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0
63.552,-3.3609713350992934,5.62000553886709,1.0,1.0,-23.171176850020565,-22.31429064434225,0.0539,-0.0906,0.9178,0.9207,0.3935,0.3797,3.69,3.65,1.0
63.662,-3.730320595056341,5.599460419328963,1.0,1.0,-22.514147944313436,-22.574774479841444,0.0601,-0.0901,0.9218,0.919,0.3829,0.3839,3.71,3.67,1.0
63.787,-4.724811140818119,5.32928702381335,1.0,1.0,-23.22139247313478,-22.030004173021425,0.0757,-0.0861,0.9159,0.923,0.3943,0.3751,3.75,3.7,1.0
63.896,-6.1628708382553015,4.938141857877028,1.0,1.0,-24.9983210986974,-23.229193077254024,0.0973,-0.0791,0.9011,0.9155,0.4226,0.3944,3.76,3.72,1.0
64.021,-6.715412605196761,4.563960457773675,1.0,1.0,-25.77895040333146,-23.447414350585394,0.1053,-0.073,0.8943,0.9145,0.4349,0.3979,3.79,3.77,1.0
64.130,-7.075065706883166,4.50091849466618,1.0,1.0,-26.320988670083224,-23.061569125754083,0.1104,-0.0722,0.8895,0.9172,0.4434,0.3917,3.81,3.83,1.0
64.255,-7.516618435100881,4.381989210903015,1.0,1.0,-26.763057952567628,-23.06039614294942,0.1168,-0.0703,0.8852,0.9174,0.4503,0.3917,3.84,3.85,1.0
64.427,-8.350573408758777,4.5347858327192085,1.0,1.0,-29.419825041600024,-24.4005471774311,0.1265,-0.072,0.8618,0.9078,0.4912,0.4131,3.91,3.92,1.0
64.536,-7.842954600590488,5.1190162864691615,1.0,1.0,-29.638134630214058,-25.696527502484702,0.1186,-0.0804,0.861,0.8975,0.4945,0.4336,3.94,3.98,1.0
64.661,-6.671402237149337,5.939368896347219,1.0,1.0,-27.341057978255115,-27.483357269522315,0.1032,-0.0918,0.8823,0.8824,0.4593,0.4615,3.94,4.02,1.0
64.786,-5.85406930698332,8.677528405192376,1.0,1.0,-25.575821474856163,-33.092873556227005,0.092,-0.1264,0.8973,0.8282,0.4317,0.546,3.87,4.04,1.0
64.974,0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0
65.083,0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0
65.192,0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0
65.317,0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0
65.474,0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0
65.630,0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0
65.755,0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0
65.864,0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0
65.989,-7.00055227606714,0.40744076125014317,1.0,1.0,-12.468785852233946,-21.857299229861994,0.119,-0.0066,0.9691,0.9281,0.2159,0.3723,4.22,3.97,1.0
66.833,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0
66.973,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0
67.083,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0
67.223,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0
